yr,mnth,hr,holiday,weekday,workingday,temp,atemp,hum,windspeed,cnt,mnth_sin,mnth_cos,hr_sin,hr_cos,weathersit_1,weathersit_2,weathersit_3,season_2,season_3,season_4
1,6,0,0,6,0,0.64,0.5758,0.83,0.0,116,1.2246467991473532e-16,-1.0,0.0,1.0,True,False,False,False,True,False
0,12,23,0,2,1,0.46,0.4545,1.0,0.1642,53,-2.4492935982947064e-16,1.0,-0.25881904510252157,0.9659258262890681,False,False,True,False,False,True
0,7,9,0,5,1,0.86,0.803,0.47,0.2537,179,-0.4999999999999997,-0.8660254037844388,0.7071067811865476,-0.7071067811865475,True,False,False,False,True,False
1,5,5,0,6,0,0.56,0.5303,0.88,0.0896,22,0.49999999999999994,-0.8660254037844387,0.9659258262890683,0.25881904510252074,True,False,False,True,False,False
0,9,16,0,6,0,0.74,0.6818,0.55,0.194,431,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,True,False,False,False,True,False
1,10,3,0,4,1,0.44,0.4394,0.88,0.2239,5,-0.8660254037844386,0.5000000000000001,0.7071067811865476,0.7071067811865476,True,False,False,False,False,True
1,2,20,0,6,0,0.24,0.2273,0.93,0.194,77,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,False,False,True,False,False,False
0,6,17,0,2,1,0.64,0.6212,0.5,0.2836,569,1.2246467991473532e-16,-1.0,-0.9659258262890683,-0.25881904510252063,False,False,True,True,False,False
1,11,0,0,3,1,0.26,0.2424,0.56,0.2836,24,-0.5000000000000004,0.8660254037844384,0.0,1.0,True,False,False,False,False,True
1,12,9,0,3,1,0.2,0.1818,0.86,0.3284,23,-2.4492935982947064e-16,1.0,0.7071067811865476,-0.7071067811865475,False,False,True,False,False,False
1,6,12,0,5,1,0.7,0.6364,0.45,0.1642,403,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,True,False,False,True,False,False
0,8,16,0,3,1,0.82,0.7424,0.43,0.2239,300,-0.8660254037844385,-0.5000000000000004,-0.8660254037844385,-0.5000000000000004,True,False,False,False,True,False
1,3,7,0,3,1,0.36,0.3333,0.46,0.3284,358,1.0,6.123233995736766e-17,0.9659258262890683,-0.25881904510252063,True,False,False,True,False,False
1,8,3,0,3,1,0.62,0.5909,0.73,0.1045,9,-0.8660254037844385,-0.5000000000000004,0.7071067811865476,0.7071067811865476,True,False,False,False,True,False
1,4,15,0,6,0,0.52,0.5,0.19,0.4179,626,0.8660254037844387,-0.4999999999999998,-0.7071067811865471,-0.7071067811865479,True,False,False,True,False,False
1,11,14,0,2,1,0.38,0.3939,0.46,0.3881,203,-0.5000000000000004,0.8660254037844384,-0.4999999999999997,-0.8660254037844388,True,False,False,False,False,True
1,9,16,0,2,1,0.66,0.6212,0.39,0.2985,495,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,True,False,False,False,False,True
1,3,7,0,2,1,0.46,0.4545,0.82,0.2836,308,1.0,6.123233995736766e-17,0.9659258262890683,-0.25881904510252063,False,True,False,False,False,False
0,2,6,0,3,1,0.12,0.1515,0.5,0.1045,36,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,True,False,False,False,False,False
1,6,19,0,2,1,0.68,0.6364,0.83,0.194,491,1.2246467991473532e-16,-1.0,-0.9659258262890684,0.2588190451025203,True,False,False,True,False,False
1,4,16,0,0,0,0.52,0.5,0.52,0.2537,511,0.8660254037844387,-0.4999999999999998,-0.8660254037844385,-0.5000000000000004,True,False,False,True,False,False
0,12,18,0,0,0,0.24,0.2273,0.48,0.194,163,-2.4492935982947064e-16,1.0,-1.0,-1.8369701987210297e-16,True,False,False,False,False,True
0,5,23,0,2,1,0.72,0.697,0.79,0.0896,61,0.49999999999999994,-0.8660254037844387,-0.25881904510252157,0.9659258262890681,True,False,False,True,False,False
1,7,21,0,2,1,0.74,0.697,0.66,0.2239,378,-0.4999999999999997,-0.8660254037844388,-0.7071067811865477,0.7071067811865474,True,False,False,False,True,False
0,8,18,0,5,1,0.76,0.6818,0.4,0.2985,465,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,True,False,False,False,True,False
0,2,17,0,5,1,0.26,0.2727,0.56,0.1343,205,0.8660254037844386,0.5000000000000001,-0.9659258262890683,-0.25881904510252063,False,True,False,False,False,False
1,11,5,0,6,0,0.26,0.2273,0.41,0.3284,3,-0.5000000000000004,0.8660254037844384,0.9659258262890683,0.25881904510252074,True,False,False,False,False,True
1,9,14,0,0,0,0.6,0.6212,0.38,0.194,666,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,True,False,False,False,False,True
0,7,5,0,6,0,0.62,0.5606,0.88,0.1642,15,-0.4999999999999997,-0.8660254037844388,0.9659258262890683,0.25881904510252074,False,True,False,False,True,False
1,12,8,0,1,1,0.36,0.3788,0.93,0.0,731,-2.4492935982947064e-16,1.0,0.8660254037844387,-0.4999999999999998,True,False,False,False,False,True
1,10,18,1,1,0,0.42,0.4242,0.66,0.2836,456,-0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,False,True,False,False,False,True
